                         --- INICIO DO RELATORIO ---                                                     --- INICIO DO RELATORIO ---                            
                                                                                                                                                                
CLLP2574                                ARQUIVO COM OS DADOS DE MESTRE DE ESTATISTICAS                               PAG.:         1                            
              4120         0354           13     COMPOSICAO DE DIVIDA                                                                                           
              4120         0355           13     RENEGOCIACAO DE DIVIDAS PESSOAS FISICAS                                                                        
              4120         0359            7     CREDITO PESSOAL                                                                                                
              4120         0361           13     COMPOSICAO DE DIVIDA                                                                                           
              4120         0368            3     DDS                                                                                                            
              4120         0370            2     PCDS                                                                                                           
              4120         0371            2     PCDS                                                                                                           
              4120         0372            3     DDS                                                                                                            
              4120         0373            3     DDS                                                                                                            
              4120         0374            3     DDS                                                                                                            
              4120         0375           91     DESC. C/CORRENTES                                                                                              
              4120         0376            3     DDS                                                                                                            
              4120         0377            3     DDS                                                                                                            
              4120         0378           42     DESCONTO DE CHEQUES                                                                                            
              4120         0379            1     CAP.GIRO MIC.E PEQ.EMPRESA                                                                                     
              4120         0381            7     C. PESSOAL - ELO PARCELADO                                                                                     
              4120         0382            7     CREDITO PESSOAL                                                                                                
              4120         0383            1     EMPR. CAP.GIRO POS-FIXADO                                                                                      
              4120         0384           13     COMPOSICAO DE DIVIDA                                                                                           
              4120         0385           13     COMPOSICAO DE DIVIDA                                                                                           
              4120         0387           21     AQ.CRED. CONSIGNADO                                                                                            
                                                                                                                                                                
CLLP2574                                ARQUIVO COM OS DADOS DE MESTRE DE ESTATISTICAS                               PAG.:         9                            
                                                                                                                          05/03/2015                            
                                                                                                                                                                
           EMPRESA     CARTEIRA     NATUREZA     DESCRICAO                                                                                                      
              4120         0388            7     CREDITO CONSIGNADO - LIMITE AQUISICAO                                                                          
              4120         0389            1     EMPRESTIMO CAGIRO-SALDO ROTATIVO                                                                               
              4120         0390            2     PCDS                                                                                                           
              4120         0391            2     PCDS                                                                                                           
              4120         0392           13     COMPOSICAO DE DIVIDA                                                                                           
              4120         0393           13     COMPOSICAO DE DIVIDA                                                                                           
              4120         0394           29     FIN LINHA TELEFONICA                                                                                           
              4120         0395           29     FIN. LINHA TELEFONICA                                                                                          
              4120         0396           41     CDC - FINANCIAMENTO DE SERVICOS                                                                                
              4120         0397            7     CDC - FINANCIAMENTO DE SERVICOS                                                                                
              4120         0401           64     GASTOS CARTAO COMPRA A VISTA                                                                                   
              4120         0403            6     AQUIS. RECEB. COM COOBR - ORPAG                                                                                
              4120         0406           99     MORA DCC                                                                                                       
              4120         0407            1     CAPITAL DE GIRO - MICROCREDITO P.J.                                                                            
              4120         0408            7     CREDITO PESSOAL IRPF                                                                                           
              4120         0409           23     LUCROS E PERDAS -DIVERSOS BCN                                                                                  
              4120         0411           66     VENDA ATIVOS-PART. BCO EM ACOES EMPRESA                                                                        
              4120         0412            7     CREDITO PESSOAL                                                                                                
              4120         0414           13     RENEG DE DIVIDA ACORDO NOS AUTOS MORA P                                                                        
              4120         0415           13     RENG.DE DIVIDA ACORDO NOS AUTOS MORA PJ                                                                        
              4120         0416           64     CARTAO BRADESCO                                                                                                
              4120         0418           64     CARTAO BRADESCO                                                                                                
              4120         0419           64     CARTAO BRADESCO                                                                                                
              4120         0422           64     CARTAO BRADESCO                                                                                                
              4120         0426           64     TELECOMPRAS PRE-DATADA                                                                                         
              4120         0427           64     CARTAO BRADESCO                                                                                                
              4120         0428           21     AQCRD GMAC AQUISICAO CREDITO COM COOBR                                                                         
              4120         0429            1     OPERACOES EX-CONTROLADORES MUTUO                                                                               
              4120         0431           13     OPERACOES EX-CONTROLADORES RENEG. PF/PJ                                                                        
              4120         0432           17     OPERACOES LEASING /FIANCA                                                                                      
              4120         0433           17     OPERACOES CDC/FIANCA                                                                                           
              4120         0434           45     LIMITE CONTA GRAFICA BOA VISTA                                                                                 
              4120         0436            8     RESOLUCAO 63                                                                                                   
              4120         0437           14     AQUISICAO CDC/VEICULOS                                                                                         
              4120         0440            6     EMPRESTIMOS COM GARANTIA DE ORPAG                                                                              
              4120         0443           64     CARTAO PROTEGIDO/SUPER PROTEGIDO                                                                               
              4120         0444           13     RENEGOCIACAO AUTOMATICA DE DIVIDAS PF                                                                          
              4120         0445           73     EMPR.PES. - CARTAO CRED. PAG. PARCELADO                                                                        
              4120         0446           40     TELECOMPRAS PRE-DATADO                                                                                         
              4120         0447           99      CESSAO CREDITO                                                                                                
              4120         0449           90     UTILIZACAO DO LIMITE                                                                                           
              4120         0450           71     EMP.PE.GAR.AL.FD.IMO                                                                                           
              4120         0451            1     CAP. GIRO - ANTEC. FORN. SETOR PUBLICO                                                                         
              4120         0452           17     CDC C/INTERVENIENCIA                                                                                           
              4120         0455           90     MORA - CHEQUE ESPCIAL - PJ                                                                                     
              4120         0456            1     ADIANT. CESSAO DE CREDITO CONDICIONADA                                                                         
              4120         0460           21     AQUISICAO DE CREDITO OPER.ESTRUTURADA                                                                          
              4120         0461           38     FIANCA NAO HONRADA                                                                                             
              4120         0462           15     RESP P/ FIANCAS                                                                                                
              4120         0464           41     CDC - FINANCIAMENTO DE SERVICOS                                                                                
              4120         0466           64     C.A. - CARTAO PRIVATE LABEL                                                                                    
                                                                                                                                                                
CLLP2574                                ARQUIVO COM OS DADOS DE MESTRE DE ESTATISTICAS                               PAG.:        10                            
                                                                                                                          05/03/2015                            
                                                                                                                                                                
           EMPRESA     CARTEIRA     NATUREZA     DESCRICAO                                                                                                      
              4120         0467           99     CESSAO DE CREDITO                                                                                              
              4120         0469           13     RENEGOCIACAO AUTOMATICA PREJUIZO PJ                                                                            
              4120         0470           46     SECURITIZADORA EX-BBV PJ                                                                                       
              4120         0471           12     CONTA GARANTIDA                                                                                                
              4120         0472            7     CP RESERVA CREDITO PESSOAL RESERVA                                                                             
              4120         0473           46     SECURITIZADORA EX-BBV                                                                                          
              4120         0476           99     FIN. DE VEICULOS                                                                                               
              4120         0479           99     CAP. DE GIRO                                                                                                   
              4120         0489            8     RESOLUCAO 63                                                                                                   
              4120         0494           19     FINAME SECURITIZACAO                                                                                           
              4120         0501           14     RENEG.CDC VEICULOS-LP                                                                                          
              4120         0507            7     EMPRESTIMO PESSOAL VINCULADO ST PUBLICO                                                                        
              4120         0508            7     EMPRESTIMO PESSOAL VINCULADO ST.PRIVADO                                                                        
              4120         0510           14     RENEG.CDC VEICULOS-MO/CA                                                                                       
              4120         0511           13     RENEG.CRED.PESSOAL-GAR.BENS IMOV-MO/CA                                                                         
              4120         0514           13     RENEG.CRED.PESSOAL-GAR.VEIC-MO/CA                                                                              
              4120         0517           90     CHEQUE ESPECIAL                                                                                                
              4120         0518           90     ENCARGOS LIM. CREDITO                                                                                          
              4120         0519           90     ENCARGOS DE LIMITE CREDITO                                                                                     
              4120         0520           12     CONTA GARANTIDA - LIMITE                                                                                       
              4120         0530           13     RENEG AUTOMATICA DE DIVIDAS PJ                                                                                 
              4120         0533            1     CAPITAL DE GIRO - DCIP                                                                                         
              4120         0540           99     DIVERSOS                                                                                                       
              4120         0542           13     RENEG.CRED.PESSOAL-GAR.BENS IMOV-LP                                                                            
              4120         0543            5     APLIC.MORA AGRIC.CART.N - PJ                                                                                   
              4120         0544            5     APLIC.MORA PECUARIA CART. N - PJ                                                                               
              4120         0550           13     COMPOSICAO DE DIVIDA                                                                                           
              4120         0551           13     COMPOSICAO DE DIVIDA                                                                                           
              4120         0554           68     CONSIGNADO PUBLICO COBRANCA COM MORA                                                                           
              4120         0555           68     CONSIGNADO PUBLICO COBRANCA SEM MORA                                                                           
              4120         0556           67     CONSIGNADO PUBLICO NOTIFICACAO COM MORA                                                                        
              4120         0557           67     CONSIGNADO PUBLICO NOTIFICACAO SEM MORA                                                                        
              4120         0558           69     CONSIGNADO PUBLICO ACORDOS                                                                                     
              4120         0559           69     CONSIGNADO PUBLICO ACORDOS                                                                                     
              4120         0578           19     BNDES PROSOFT                                                                                                  
              4120         0580           61     VENDA DE BENS-LEILAO                                                                                           
              4120         0585           25     MESALIDADE VISA EMPRESARIAL                                                                                    
              4120         0586           16     CAGIRO C/GAR CARTOES_INCORP PARC                                                                               
              4120         0587            5     MORA-AM PROR PARC OP.SECURIT RES.2238RPL                                                                       
              4120         0589           13     RENEG.CRED.PESSOAL-GAR.VEIC-LP                                                                                 
              4120         0600           99     LP - FB                                                                                                        
              4120         0601           25     CARTAO BRADESCO                                                                                                
              4120         0602           32     C.P.M.F                                                                                                        
              4120         0603           14     CDC CONSIGNADO VEICULO PUBLICO                                                                                 
              4120         0604           41     CDC CONSIGNADO BENS PUBLICO                                                                                    
              4120         0605           64     CARTAO BRADESCO                                                                                                
              4120         0606           41     CDC CONSIGNADO SERVICOS PUBLICO                                                                                
              4120         0610                  MORA - DCC ATE CR$ 2.000,00                                                                                    
              4120         0611           64     CARTAO BRADESCO                                                                                                
              4120         0612           17     CDC C/INTERVENIENCIA                                                                                           
              4120         0613           21     CESSAO DE CREDITO                                                                                              
                                                                                                                                                                
CLLP2574                                ARQUIVO COM OS DADOS DE MESTRE DE ESTATISTICAS                               PAG.:        11                            
                                                                                                                          05/03/2015                            
                                                                                                                                                                
           EMPRESA     CARTEIRA     NATUREZA     DESCRICAO                                                                                                      
              4120         0614           17     CDC NAO CORRENTISTA                                                                                            
              4120         0615           17     CDC NAO CORRENTISTA                                                                                            
              4120         0616           17     CDC NAO CORRENTISTA                                                                                            
              4120         0617           17     CDC NAO CORRENTISTA                                                                                            
              4120         0618           95     DESC C/C ORIGINADOS P/ COBRANÁA TARIFAS                                                                        
              4120         0619           99     LIMITE DE SAQUE - CCC MB.                                                                                      
              4120         0620           14     FIN. DE VEICULOS                                                                                               
              4120         0621           14     FIN. DE VEICULOS                                                                                               
              4120         0622           17     CDC C/INTERVENIENCIA                                                                                           
              4120         0624           14     FIN. DE VEICULOS                                                                                               
              4120         0625           19     FINAME                                                                                                         
              4120         0626           64     CARTAO BRADESCO-VISA FACIL CART DOURADO                                                                        
              4120         0627           64     CARTAO BRADESCO                                                                                                
              4120         0628           70     EMP.PES.GARANT.VEIC.                                                                                           
              4120         0629           17     CDC C/INTERVENIENCIA                                                                                           
              4120         0630           99     LIMITE DE CREDITO ESPECIAL                                                                                     
              4120         0631           43     FIN. MAT. DE CONSTRUCAO                                                                                        
              4120         0632           14     FIN. DE VEICULOS                                                                                               
              4120         0633           91     DESC. CONTA CORRENTE                                                                                           
              4120         0634           90     CHEQUE ESPECIAL                                                                                                
              4120         0635           19     FINAME                                                                                                         
              4120         0636           91     DESC. C/C ORIGINADOS POR COBRAN«A DE TA                                                                        
              4120         0637           13     RENEG. SECURITIZADOS PJ                                                                                        
              4120         0638           46     SEC. FINANCEIRA - EX-BBV                                                                                       
              4120         0639            5     APLICACAO EM MORA AGRIC.CART.N-PJ                                                                              
              4120         0640            5     APLICACAO EM MORA PEC.. CART.N-PJ                                                                              
              4120         0641            5     REP. PRONAF                                                                                                    
              4120         0644           21     AQUIS.DE CRED.C/COOB.-FIN.PRE.FIX.                                                                             
              4120         0645           21     CESSAO DE CREDITO                                                                                              
              4120         0647           21     AQUISICAO DE CREDITO                                                                                           
              4120         0648           21     CESSAO DE CREDITO                                                                                              
              4120         0649           23     CRDA/CRGH/LRCP                                                                                                 
              4120         0651           14     FIN. DE VEICULOS                                                                                               
              4120         0652           21     AQ.CRED.FIN.VEIC./OUTROS BENS USAD.-PF                                                                         
              4120         0653           21     AQUISICAO DE CREDITO                                                                                           
              4120         0654           46     SEC. FINANCEIRA - EX-BBV                                                                                       
              4120         0655           14     FIN. DE VEICULOS                                                                                               
              4120         0656           14     FIN. DE VEICULOS                                                                                               
              4120         0657            7     CREDITO PESSOAL                                                                                                
              4120         0658           17     CDC NAO CORRENTISTA                                                                                            
              4120         0659           13     FINAN COMPOSICAO DE DIVIDA - PF                                                                                
              4120         0660           14     CDC-UNIVERSITARIO                                                                                              
              4120         0661           14     FIN. DE VEICULOS                                                                                               
              4120         0662           14     FIN. DE VEICULOS                                                                                               
              4120         0664           14     FIN. DE VEICULOS                                                                                               
              4120         0665           14     FIN. DE VEICULOS                                                                                               
              4120         0666           14     FIN. DE VEICULOS                                                                                               
              4120         0667            1     AQ.CRED.FINANC.CAP.DE GIRO C/VAR.BTN                                                                           
              4120         0668            1     FINANC.CAP. GIRO C-VAR.OTN-PJC                                                                                 
              4120         0669            1     FINANC.CAP. GIRO C-VAR.OTN-PJ OU AT                                                                            
              4120         0670           13     RENEG. SECURITIZADOS PF                                                                                        
                                                                                                                                                                
CLLP2574                                ARQUIVO COM OS DADOS DE MESTRE DE ESTATISTICAS                               PAG.:        12                            
                                                                                                                          05/03/2015                            
                                                                                                                                                                
           EMPRESA     CARTEIRA     NATUREZA     DESCRICAO                                                                                                      
              4120         0671           22     VENDOR/COMPROR BRADESCO                                                                                        
              4120         0672           22     VENDOR/COMPROR BRADESCO                                                                                        
              4120         0673           22     VENDOR/COMPROR BRADESCO                                                                                        
              4120         0674           22     VENDOR/COMPROR                                                                                                 
              4120         0681           99     OUTRAS OPERACOES                                                                                               
              4120         0682           14     FIN. DE VEICULOS                                                                                               
              4120         0683           14     FIN. DE VEICULOS                                                                                               
              4120         0684           14     FIN. DE VEICULOS                                                                                               
              4120         0685           14     FIN. DE VEICULOS                                                                                               
              4120         0686           14     FIN. DE VEICULOS                                                                                               
              4120         0688           14     FIN. DE VEICULOS                                                                                               
              4120         0694           90     CHEQUE ESPECIAL - UTILIZACAO                                                                                   
              4120         0695            1     CIDADE DETRAN PJ - GIRO                                                                                        
              4120         0697            7     CREDITO PESSOAL                                                                                                
              4120         0698            7     CREDITO PESSOAL                                                                                                
              4120         0699            7     CREDITO PESSOAL                                                                                                
              4120         0700            7     CREDITO PESSOAL CONSIGNADO                                                                                     
              4120         0702           45     CREDITOS DE TERCEIROS - EX BBV                                                                                 
              4120         0703           60     IND. FUMAGEIRA                                                                                                 
              4120         0704           15     RESP P/ FIANCA                                                                                                 
              4120         0705           19     FINAME                                                                                                         
              4120         0706           33     POC/FINAC/PROCAP/PROINFO                                                                                       
              4120         0707           20     IFC-REPASSE/RECURSO EXTRANGEIRO                                                                                
              4120         0708            7     CREDITO PESSOAL CONSIG. SETOR PRIVADO                                                                          
              4120         0709            8     RESOLUCAO 63                                                                                                   
              4120         0710           31     POC/FINAC/PROCAP/PROINFO                                                                                       
              4120         0711           33     POC/FINAC/PROCAP/PROINFO                                                                                       
              4120         0712            1     CAGIRO ANTEC.RECEBIVEIS ORGAN.BRADESCO                                                                         
              4120         0713            1     FIN.CAP.GIRO C/VARIACAO EM LBC.BBI                                                                             
              4120         0715           19     REPASSE OPERACOES FINAME - FINANSA                                                                             
              4120         0716           23     CRDA/CRGH/LRCP                                                                                                 
              4120         0719           12     CONTA GARANTIDA                                                                                                
              4120         0720           14     FIN. DE VEICULOS                                                                                               
              4120         0721           14     FIN.VEICULOS                                                                                                   
              4120         0722            1     UTILIZACAO LIMITE ROTATIVO FLEX PJ                                                                             
              4120         0723            1     FINANC.CAPITAL DE GIRO ESPECIAL-C/NP                                                                           
              4120         0725           13     COMPOSICAO DE DIVIDA                                                                                           
              4120         0726           19     FINAME                                                                                                         
              4120         0727           19     FINAME                                                                                                         
              4120         0728           13     RENEGOCIACAO AUTOMATICA PESSOA FISICA                                                                          
              4120         0729           13     COMPOSICAO DE DIVIDA                                                                                           
              4120         0730           36     PRONAGRI                                                                                                       
              4120         0731           33     POC/FINAC/PROCAP/PROINFO                                                                                       
              4120         0732           33     POC/FINAC/PROCAP/PROINFO                                                                                       
              4120         0733           19     PROSOLO                                                                                                        
              4120         0735           14     CDC CONSIGNADO - VEICULOS-PRIVADO                                                                              
              4120         0736           19     FINAME                                                                                                         
              4120         0737           53     FINAME                                                                                                         
              4120         0738           19     FINAME                                                                                                         
              4120         0739            8     RESOLUCAO 63                                                                                                   
              4120         0740           19     FINAME                                                                                                         
                                                                                                                                                                
CLLP2574                                ARQUIVO COM OS DADOS DE MESTRE DE ESTATISTICAS                               PAG.:        13                            
                                                                                                                          05/03/2015                            
                                                                                                                                                                
           EMPRESA     CARTEIRA     NATUREZA     DESCRICAO                                                                                                      
              4120         0741           19     FINAME                                                                                                         
              4120         0742           31     EXIMBANK                                                                                                       
              4120         0743           31     POC/FINAC/PROCAP/PROINFO                                                                                       
              4120         0744           16     REF MICRO EMPR                                                                                                 
              4120         0746           27     FINANCIAMENTO BNDES                                                                                            
              4120         0747           33     POC/FINAC/PROCAP/PROINFO                                                                                       
              4120         0749           23     CRDA/CRGH/LRCP                                                                                                 
              4120         0752           19     FINAME                                                                                                         
              4120         0755            5     FINANC. RURAIS ALONGADAS - RO                                                                                  
              4120         0756            5     MORA-FINANC. RURAIS ALONGADAS - RO                                                                             
              4120         0757            5     FINANC. RURAIS RENEGOCIADAS - RO                                                                               
              4120         0758            5     MORA-FINANC. RURAIS RENEGOCIADAS - RO                                                                          
              4120         0759            5     FINANC. RURAIS ALONGADAS - RPL                                                                                 
              4120         0760            5     MORA-FINANC. RURAIS ALONGADAS - RPL                                                                            
              4120         0761           79     CAPITAL DE GIRO - GARANTIA DE IMOVEIS                                                                          
              4120         0762            1     CAP. DE GIRO                                                                                                   
              4120         0763            1     CAP. DE GIRO                                                                                                   
              4120         0765            5     FINANC. RURAIS RENEGOCIADAS - RPL                                                                              
              4120         0766            5     MORA-FINANC.RURAIS RENEGOCIADAS - RPL                                                                          
              4120         0769            5     FINANC.RURAIS ALONGADAS EM ATRASO-RO                                                                           
              4120         0770            5     AM-FINANC.RURAIS ALONGADAS EM ATRASO-RO                                                                        
              4120         0771            1     MICROCRED.PROD.ORIENT.FINANC.PJ                                                                                
              4120         0772           23     MICROCRED.PROD.ORIENT.FINANC. PF                                                                               
              4120         0773            1     MICROCRED.PROD.ORIENT. GIRO PJ                                                                                 
              4120         0774           23     MICROCRED.PROD.ORIENT. GIRO PF                                                                                 
              4120         0775            5     FINANC.RURAIS RENEGOCIADAS EM ATRASO-RPL                                                                       
              4120         0776            5     AM-FINANC.RURAIS RENEGOCIADAS/ATRASO-RPL                                                                       
              4120         0777            8     RESOLUCAO 63                                                                                                   
              4120         0778            5     FINANC.RURAIS ALONGADAS EM CL - RO                                                                             
              4120         0779            5     AM-FINANC.RURAIS ALONGADAS EM CL - RO                                                                          
              4120         0780            5     FINANC. RURAIS RENEGOCIADAS EM CL - RO                                                                         
              4120         0781            5     AM-FINANC.RURAIS RENEGOCIADAS EM CL - RO                                                                       
              4120         0782            5     FINANC. RURAIS ALONGADAS EM CL - RPL                                                                           
              4120         0783            5     AM-FINANC.RURAIS ALONGADAS EM CL - RPL                                                                         
              4120         0784            5     FINANC.RURAIS RENEGOCIADAS EM CL - RPL                                                                         
              4120         0785            5     AM-FINANC.RURAIS RENEGOCIADAS EM CL-RPL                                                                        
              4120         0786            5     FINANC.RURAIS ALONGADAS SECURITIZADAS-RO                                                                       
              4120         0787            5     AM-FINANC.RURAIS ALONGADAS SECURIT. - RO                                                                       
              4120         0788            5     FINAN.RURAIS ALONGADAS SECURITIZADAS-RPL                                                                       
              4120         0789            5     AM-FINANC.RURAIS ALONGADAS SECURIT.-RPL                                                                        
              4120         0790            5     FINANC.RURAIS ALONG.SECURIT.EM ATRASO-RO                                                                       
              4120         0791            5     AM-FIN.RURAIS ALONG.SECURIT./ATRASO-RO                                                                         
              4120         0792            5     FINAN.RURAIS ALONG.SECURIT.EM ATRASO-RPL                                                                       
              4120         0793            5     AM-FIN.RURAIS ALONG.SECURIT./ATRASO-RPL                                                                        
              4120         0794            5     FINANC.RURAIS ALONG.SECURIT. EM CL - RO                                                                        
              4120         0795            5     AM-FINAN.RURAIS ALONG.SECURIT./ CL - RO                                                                        
              4120         0796            5     FINANC.RURAIS ALONG.SECURIT./CL - RPL                                                                          
              4120         0797            5     AM-FINANC.RURAIS ALONG.SECURIT./CL-RPL                                                                         
              4120         0798            5     EMP RURAIS                                                                                                     
              4120         0799           41     CDC CONSIGNADO OUTROS BENS PRIVADO                                                                             
              4120         0800           10     CAMBIO                                                                                                         
                                                                                                                                                                
CLLP2574                                ARQUIVO COM OS DADOS DE MESTRE DE ESTATISTICAS                               PAG.:        14                            
                                                                                                                          05/03/2015                            
                                                                                                                                                                
           EMPRESA     CARTEIRA     NATUREZA     DESCRICAO                                                                                                      
              4120         0802           10     CAMBIO                                                                                                         
              4120         0803           10     CAMBIO                                                                                                         
              4120         0804           10     CAMBIO                                                                                                         
              4120         0805           10     CAMBIO                                                                                                         
              4120         0806           10     CAMBIO                                                                                                         
              4120         0809           58     DESCONTO DE CHEQUES                                                                                            
              4120         0810           10     CAMBIO                                                                                                         
              4120         0811           10     CAMBIO                                                                                                         
              4120         0812           10     CAMBIO                                                                                                         
              4120         0813           10     CAMBIO                                                                                                         
              4120         0814           10     CAMBIO                                                                                                         
              4120         0815           10     CAMBIO                                                                                                         
              4120         0816           10     CAMBIO                                                                                                         
              4120         0820           10     CAMBIO                                                                                                         
              4120         0823           21     AQUISICAO DE CREDITOS S/COOBRIGACAO                                                                            
              4120         0825           10     EXIMBANK                                                                                                       
              4120         0828           10     CAMBIO                                                                                                         
              4120         0829           10     CAMBIO                                                                                                         
              4120         0831           10     CAMBIO                                                                                                         
              4120         0832           10     CAMBIO                                                                                                         
              4120         0833           10     CAMBIO                                                                                                         
              4120         0834           10     CAMBIO                                                                                                         
              4120         0836           10     CAMBIO                                                                                                         
              4120         0837           10     CAMBIO                                                                                                         
              4120         0838           10     CAMBIO                                                                                                         
              4120         0841           57     DESCONTO DE DUPLICATAS                                                                                         
              4120         0842           57     DUPLICATAS DESCONTADAS ESCRITURAL                                                                              
              4120         0847           10     CAMBIO                                                                                                         
              4120         0863           95     LEASING BANCO ALVORADA                                                                                         
              4120         0865           10     CAMBIO                                                                                                         
              4120         0867           10     CAMBIO                                                                                                         
              4120         0889           19     FINAME                                                                                                         
              4120         0892           19     FINAME                                                                                                         
              4120         0893           19     FINAME                                                                                                         
              4120         0894           19     FINAME                                                                                                         
              4120         0896           19     FINAME                                                                                                         
              4120         0900            7     CREDITO PESSOAL                                                                                                
              4120         0929            1     CAPITAL DE GIRO                                                                                                
              4120         0934           99     CAPITAL DE GIRO ESPECIAL                                                                                       
              4120         0937           99     CREDITO DIRETO AO CONSUMIDOR - LIMITE                                                                          
              4120         0938            7     CREDITO PESSOAL                                                                                                
              4120         0943           99     OUTRAS OPERACOES                                                                                               
              4120         0943           99     OUTRAS OPERACOES                                                                                               
              4120         0951           19     FINAME                                                                                                         
              4120         0951           19     FINAME                                                                                                         
              4120         0966           42     DESCONTO DE CHEQUES                                                                                            
              4120         0966           42     DESCONTO DE CHEQUES                                                                                            
              4160         EXT            98     OPERACOES QUE COMPOE O "EXTRA TETO"                                                                            
              4160         TET            98     OPERACOES QUE COMPOE O "TETO"                                                                                  
              4900         0767           99     CAMBIO                                                                                                         
              4900         0826                  CL - CAMBIO                                                                                                    
                                                                                                                                                                
CLLP2574                                ARQUIVO COM OS DADOS DE MESTRE DE ESTATISTICAS                               PAG.:        15                            
                                                                                                                          05/03/2015                            
                                                                                                                                                                
           EMPRESA     CARTEIRA     NATUREZA     DESCRICAO                                                                                                      
              5150         VISA           64     CARTAO BRADESCO                                                                                                
              5150         0004           99     CL EX CREDIREAL                                                                                                
              5150         0115           64     PARCELADO EMISS.CT.CRED.BRAD.EMPRESARIA                                                                        
              5150         0193           64     CARTAO BRADESCO                                                                                                
              5150         0194           64     CARTAO BRADESCO-SAQUES                                                                                         
              5150         0195           64     CARTAO BRADESCO                                                                                                
              5150         0196           64     CARTAO BRADESCO                                                                                                
              5150         0197           13     CARTAO BRADESCO                                                                                                
              5150         0198           64     CARTAO BRADESCO                                                                                                
              5150         0399           64     CARTAO BNDES                                                                                                   
              5150         0400           99     LP - BT                                                                                                        
              5150         0401           64     GASTOS CARTAO COMPRA A VISTA                                                                                   
              5150         0413           64     CARTAO BRADESCO                                                                                                
              5150         0417           64     CARTAO BRADESCO                                                                                                
              5150         0420           64     CARTAO BRADESCO                                                                                                
              5150         0421           64     CARTAO BRADESCO                                                                                                
              5150         0423           64     CARTAO BRADESCO-ROTATIVO                                                                                       
              5150         0424           64     CARTAO BRADESCO                                                                                                
              5150         0426           64     TELECOMPRAS PRE-DATADAS                                                                                        
              5150         0435           73     CREDTCCRE CR ATRSO-CART CRED ORIGEM B2K                                                                        
              5150         0438           64     CARTAO BRADESCO                                                                                                
              5150         0439           73     CREDTCCRE CR ATRSO-CART CRED ORIGEM B2K                                                                        
              5150         0441           64     CARTAO BRADESCO                                                                                                
              5150         0443           64     CARTAO BRADESCO                                                                                                
              5150         0453           46     SECURITIZADORA EX-BBV                                                                                          
              5150         0474           72     ATRCCRE ATRASO ANUIDADE C.CREDITO - B2K                                                                        
              5150         0475           64     CARTAO BRADESCO                                                                                                
              5150         0477           64     CARTAO BRADESCO-SAQUES                                                                                         
              5150         0478           64     CARTAO BRADESCO-SAQUES                                                                                         
              5150         0491           64     CARTAO BRADESCO-SAQUES                                                                                         
              5150         0492           64     CARTAO BRADESCO                                                                                                
              5150         0493           64     CARTAO BRADESCO                                                                                                
              5150         0495           64     CARTAO BRADESCO                                                                                                
              5150         0585           25     TAXA ANUIDADE CARTAO PROTEGIDO                                                                                 
              5150         0611           64     CARTAO BRADESCO                                                                                                
              5150         0626           64     CARTAO BRADESCO                                                                                                
              5150         0627           64     CARTAO BRADESCO                                                                                                
              5150         0678           64     CARTAO BRADESCO                                                                                                
              5150         0679           64     CARTAO BRADESCO                                                                                                
              5170         0014           99     EMPREST.CAIXA BENEFICENTE NORMAL                                                                               
              5190         0001           99     PREJUIZO CASTROCLINICA                                                                                         
              5190         0004           99     PREJUIZO CASTROCLINICA                                                                                         
              5201         0013           73     CARTAO DE CREDITO PARCELADO LOJISTAS                                                                           
              5201         0288           13     RENEG CARTAO CREDITO OPER ATIVAS PF                                                                            
              5201         0312           64     CARTAO BNDES                                                                                                   
              5201         0399           64     CARTAO BNDES                                                                                                   
              5201         0439           73      CREDATCCRE CRED ATRASO-CARTAO CRED                                                                            
              5201         0474           72     ATRCCRE ATRASO ANUIDADE C.CREDITO - B2K                                                                        
              5240         0007           99     CL - LEASING VR. PRINCIPAL                                                                                     
              5240         0009           99     CL - LEASING VR. RESIDUAL                                                                                      
              5240         0103           50     LEASING ALCADA ESPECIAL                                                                                        
                                                                                                                                                                
CLLP2574                                ARQUIVO COM OS DADOS DE MESTRE DE ESTATISTICAS                               PAG.:        16                            
                                                                                                                          05/03/2015                            
                                                                                                                                                                
           EMPRESA     CARTEIRA     NATUREZA     DESCRICAO                                                                                                      
              5240         0283           50     RECOMPRA LEASING                                                                                               
              5240         0405           99     APLIC MORA - LEASING                                                                                           
              5240         0643           50     RECOMPRA LEASING                                                                                               
              5240         0846           50     LEASING                                                                                                        
              5240         0848           50     LEASING BRADESCO-DIVERSOS                                                                                      
              5240         0850           99     LP - LEASING                                                                                                   
              5240         0851           50     LEASING BRADESCO-DIVERSOS                                                                                      
              5240         0852           50     LEASING TRD RES 140                                                                                            
              5240         0853           50     LSG-VAR.LBC                                                                                                    
              5240         0854           50     LSG-VAR.LBC                                                                                                    
              5240         0855           50     LSG-VAR.LBC                                                                                                    
              5240         0856           50     LEASING OPERACIONAL - DOLAR                                                                                    
              5240         0857           50     LEASING  RENEGOCIACAO CIR. 2686                                                                                
              5240         0858           50     LEASING RENEG. VALOR RESID. CIR. 2686                                                                          
              5240         0859           50     LSG VAR POUPANCA                                                                                               
              5240         0860           50     LSG DOLLAR                                                                                                     
              5240         0861           50     LSG PRE-FIXADA                                                                                                 
              5240         0862           50     LSG DOLLAR                                                                                                     
              5240         0863           50     LSG VAR POUPANCA                                                                                               
              5240         0864           50     LSG - DIVERSOS                                                                                                 
              5240         0868           50     MORA - LEASING                                                                                                 
